iter	Passed	Remaining
596	1394	941
597	1396	938
598	1398	936
599	1401	934
600	1403	931
601	1406	929
602	1408	927
603	1410	924
604	1412	922
605	1415	920
606	1417	917
607	1419	915
608	1422	913
609	1424	910
610	1426	908
611	1428	905
612	1431	903
613	1433	901
614	1435	898
615	1437	896
616	1440	894
617	1442	891
618	1444	889
619	1447	886
620	1449	884
621	1451	882
622	1454	879
623	1456	877
624	1458	875
625	1461	872
626	1463	870
627	1465	868
628	1467	865
629	1470	863
630	1472	861
631	1474	858
632	1476	856
633	1479	853
634	1481	851
635	1483	849
636	1486	847
637	1488	844
638	1490	842
639	1493	839
640	1495	837
641	1497	835
642	1499	832
643	1502	830
644	1504	828
645	1506	825
646	1509	823
647	1511	820
648	1513	818
649	1516	816
650	1518	813
651	1520	811
652	1522	809
653	1525	806
654	1527	804
655	1529	802
656	1531	799
657	1534	797
658	1537	795
659	1539	793
660	1541	790
661	1544	788
662	1546	786
663	1548	783
664	1551	781
665	1553	779
666	1556	776
667	1558	774
668	1561	772
669	1563	770
670	1566	767
671	1568	765
672	1570	763
673	1572	760
674	1575	758
675	1577	756
676	1579	753
677	1582	751
678	1584	748
679	1586	746
680	1588	744
681	1591	741
682	1593	739
683	1595	737
684	1597	734
685	1600	732
686	1602	730
687	1604	727
688	1606	725
689	1609	722
690	1611	720
691	1613	718
692	1615	715
693	1618	713
694	1620	711
695	1622	708
696	1625	706
697	1627	704
698	1629	701
699	1631	699
700	1634	697
701	1636	694
702	1638	692
703	1641	689
704	1643	687
705	1645	685
706	1647	682
707	1650	680
708	1652	678
709	1654	675
710	1657	673
711	1659	671
712	1661	668
713	1664	666
714	1666	664
715	1668	661
716	1671	659
717	1673	657
718	1675	654
719	1677	652
720	1680	650
721	1682	647
722	1684	645
723	1686	643
724	1689	640
725	1691	638
726	1693	635
727	1695	633
728	1698	631
729	1700	628
730	1702	626
731	1705	624
732	1707	621
733	1709	619
734	1712	617
735	1714	614
736	1716	612
737	1718	610
738	1721	607
739	1723	605
740	1725	603
741	1728	600
742	1730	598
743	1733	596
744	1735	594
745	1737	591
746	1740	589
747	1742	587
748	1745	584
749	1747	582
750	1749	580
751	1752	577
752	1754	575
753	1756	573
754	1758	570
755	1761	568
756	1763	566
757	1765	563
758	1767	561
759	1770	559
760	1772	556
761	1774	554
762	1777	552
763	1779	549
764	1781	547
765	1783	544
766	1786	542
767	1788	540
768	1790	537
769	1792	535
770	1795	533
771	1797	530
772	1799	528
773	1801	526
774	1804	523
775	1806	521
776	1808	519
777	1811	516
778	1813	514
779	1815	512
780	1817	509
781	1820	507
782	1822	505
783	1824	502
784	1826	500
785	1829	498
786	1831	495
787	1833	493
788	1835	490
789	1837	488
790	1840	486
791	1842	483
792	1844	481
793	1847	479
794	1849	476
795	1851	474
796	1853	472
797	1855	469
798	1858	467
799	1860	465
800	1862	462
801	1864	460
802	1866	458
803	1869	455
804	1871	453
805	1873	450
806	1875	448
807	1878	446
808	1880	443
809	1882	441
810	1884	439
811	1886	436
812	1889	434
813	1891	432
814	1893	429
815	1896	427
816	1898	425
817	1900	422
818	1902	420
819	1905	418
820	1907	415
821	1909	413
822	1911	411
823	1914	408
824	1916	406
825	1918	404
826	1920	401
827	1923	399
828	1926	397
829	1928	395
830	1931	392
831	1933	390
832	1935	388
833	1937	385
834	1940	383
835	1942	381
836	1944	378
837	1947	376
838	1949	374
839	1952	371
840	1954	369
841	1956	367
842	1959	364
843	1961	362
844	1963	360
845	1966	357
846	1968	355
847	1970	353
848	1973	350
849	1975	348
850	1977	346
851	1979	343
852	1981	341
853	1984	339
854	1987	336
855	1989	334
856	1991	332
857	1993	329
858	1996	327
859	1998	325
860	2000	323
861	2003	320
862	2005	318
863	2007	316
864	2009	313
865	2012	311
866	2014	309
